drug1,drug2,SE
4595,122316,0
3355,60198,0
3899,77993,0
5379,152945,0
2088,3449,0
2153,3440,0
5038,3468412,0
3672,4479097,0
2576,4509,0
5650,51263,0
3440,41781,0
5556,5650,0
937,3878,0
2244,5726,0
2524,4894,0
2524,4173,0
4112,5487301,0
444,1302,0
4107,5358,0
3348,5002,0
3639,4607,1
2771,4212,1
4058,104741,1
2405,39765,1
564,4159,1
2907,3043,1
2022,5073,1
2585,2678,1
4253,147912,1
3878,5394,1
4168,5734,1
4691,119607,1
2162,68844,1
1302,3825,1
3954,130881,1
3648,3961,1
3157,4894,1
2803,3348,1
3954,4927,1
2083,5311027,1
3325,5453,2
2187,5734,2
4674,91270,2
1986,4543,2
3003,5656,2
2022,5282226,2
1302,5978,2
4583,36339,2
3308,3414,2
3339,3661,2
4091,4909,2
3003,4451,2
2022,4409,2
2678,3121,2
1971,3715,2
2083,60854,2
2907,83786,2
2088,2802,2
1302,2646,2
4510,4634,2
4927,5505,3
2083,54841,3
2658,5726,3
54841,60198,3
2487,62924,3
3957,5530,3
5717,60854,3
2812,4927,3
2160,87177,3
3883,667490,3
3478,3676,3
3640,87177,3
2909,4485,3
24486,62924,3
4594,4475485,3
2308,3255,3
4542,5029,3
3203,3877,3
942,4585,3
3652,5039,3
1690,5493381,4
3345,3749,4
4873,72467,4
3405,4740,4
2250,4659569,4
2160,3404,4
5038,5297,4
5039,5281007,4
1983,3394,4
2658,4889,4
4205,10631,4
2909,4595,4
2806,4635,4
3690,3750,4
3652,5650,4
5402,150311,4
2088,3676,4
62924,104741,4
2891,4691,4
2477,3658,4
2955,156419,5
3958,4885,5
3640,3750,5
3345,5311181,5
1983,2187,5
5090,5372,5
2656,4473,5
4635,54808,5
937,5090,5
2895,3154,5
2022,3793,5
2764,2812,5
1117,59708,5
3348,4499,5
2764,3878,5
3345,4894,5
5002,5038,5
60184,176870,5
2162,2244,5
5095,27661,5
4946,110635,6
2909,77992,6
3365,54374,6
2764,60854,6
2171,83786,6
3793,216326,6
2786,24486,6
4583,62924,6
3075,3652,6
3143,5358,6
772,5391,6
3890,5478,6
4168,4873,6
3003,3405,6
3143,19090,6
3478,5064,6
2088,10631,6
3003,3143,6
596,1983,6
4917,60147,6
2249,5496,7
2554,122316,7
5732,160051,7
3937,4594,7
83786,6435110,7
2622,4730,7
5073,36339,7
2554,3676,7
937,2712,7
3957,176168,7
3325,3446,7
4594,60852,7
3446,4485,7
937,2244,7
3325,5523,7
60795,150311,7
2142,2909,7
5234,27661,7
3476,4170,7
2585,3639,7
5391,150310,8
4917,216326,8
3825,3957,8
4889,39765,8
3365,5523,8
3121,5734,8
937,2732,8
1302,54374,8
4513,5281104,8
3157,3658,8
1983,3478,8
4409,5039,8
596,3559,8
3640,5408,8
2250,5035,8
2284,5311297,8
1302,4170,8
942,2083,8
4666,5672,8
2662,3161,8
5073,5719,9
3899,6447131,9
2658,3154,9
3032,216326,9
2162,16231,9
3937,4634,9
54454,115237,9
2806,3062,9
3032,41317,9
2909,5523,9
2786,3161,9
3883,6398525,9
838,5203,9
2662,3440,9
2646,4411,9
5358,5487301,9
3883,5512,9
125889,5487301,9
4173,4594,9
2405,3899,9
4635,5426,10
5035,28112,10
2141,5650,10
2118,4499,10
2311,4091,10
3143,3690,10
3325,4889,10
2617,657298,10
772,3117,10
3348,4913,10
2171,4236,10
444,450,10
2118,4171,10
2576,4236,10
2083,3958,10
2662,5656,10
2617,3446,10
3958,4873,10
3003,59708,10
2617,3825,10
3345,54374,11
2160,83786,11
4679,41693,11
4666,4946,11
4091,77999,11
2771,3203,11
2022,4463,11
3365,10631,11
4594,4909,11
2471,4542,11
4856,5656,11
772,4112,11
2099,5090,11
3958,4829,11
3365,5651,11
3075,4112,11
5076,62924,11
