,0
0,780
1,7849
2,6193
3,23
4,9552
5,387
6,10921
7,10285
8,533
9,6194
10,23326
11,351
12,1213
13,9761
14,1465
15,808
16,5792
17,3337
18,7494
19,2896
20,3098
21,11014
22,6500
23,823
24,813
25,1509
26,4144
27,3925
28,1891
29,8826
30,3303
31,3329
32,1153
33,5720
34,5048
35,10525
36,5708
37,2058
38,5710
39,5223
40,6772
41,2288
42,3895
43,10972
44,226
45,10099
46,2778
47,3091
48,16
49,6184
50,10606
51,10904
52,3033
53,2771
54,9491
55,10398
56,4313
57,6599
58,9375
59,8396
60,5829
61,9276
62,5211
63,10857
64,3693
65,5355
66,4780
67,4154
68,4836
69,8553
70,54386
71,25793
72,5654
73,4043
74,8804
75,5111
76,5641
77,3611
78,481
79,6856
80,7296
81,23386
82,7153
83,10494
84,10969
85,23365
86,6342
87,10730
88,79073
89,7165
90,10491
91,10131
92,3482
93,26227
94,26020
95,6659
96,847
97,6009
98,9261
99,9805
100,3725
101,6464
102,8878
103,5547
104,7874
105,4792
106,10146
107,9868
108,6117
109,7538
110,1845
111,10765
112,4172
113,25932
114,22883
115,3398
116,1635
117,2195
118,8243
119,11188
120,11137
121,23463
122,8607
123,8720
124,3638
125,10670
126,8870
127,9246
128,10051
129,9097
130,1958
131,4860
132,1786
133,896
134,8508
135,4605
136,2037
137,1994
138,9703
139,7157
140,6118
141,10797
142,5721
143,1616
144,60528
145,9918
146,9813
147,11325
148,3930
149,9467
150,9690
151,949
152,51097
153,6603
154,10276
155,3066
156,3315
157,3988
158,664
159,994
160,23300
161,10953
162,9019
163,3597
164,84722
165,7319
166,80347
167,10489
168,23077
169,10180
170,5236
171,4651
172,6251
173,1956
174,9897
175,2131
176,23013
177,5782
178,11344
179,7082
180,4232
181,230
182,5927
183,26064
184,329
185,1514
186,54623
187,332
188,5899
189,23647
190,392
191,8895
192,25
193,66008
194,5831
195,23636
196,5108
197,642
198,9961
199,55746
200,8985
201,5525
202,9688
203,10123
204,22889
205,1398
